Dataset,Protected Attribute,Algorithm,F1,Accuracy,AOD,EOD
Adult,Sex,Optimized Preprocessing,0.47,0.80,0.03,0.04
Adult,Sex,Reweighing,0.50,0.80,0.02,0.03
Adult,Sex,Adversial Debiasing,0.53,0.83,0.01,0.02
Adult,Sex,Reject Option Classification,0.33,0.80,0.03,0.04
Adult,Sex,Fairway,0.38,0.81,0.02,0.03
Adult,Sex,FairBalance,0.53,0.70,0.00,0.03
Adult,Race,Optimized Preprocessing,0.50,0.80,0.03,0.09
Adult,Race,Reweighing,0.48,0.80,0.01,0.02
Adult,Race,Adversial Debiasing,0.51,0.81,0.01,0.02
Adult,Race,Reject Option Classification,0.36,0.80,0.02,0.10
Adult,Race,Fairway,0.52,0.83,0.02,0.03
Adult,Race,FairBalance,0.53,0.70,0.02,0.01
Compas,Sex,Optimized Preprocessing,0.57,0.63,0.03,0.07
Compas,Sex,Reweighing,0.56,0.61,0.03,0.12
Compas,Sex,Adversial Debiasing,0.54,0.60,0.04,0.06
Compas,Sex,Reject Option Classification,0.61,0.64,0.01,0.03
Compas,Sex,Fairway,0.61,0.67,0.02,0.21
Compas,Sex,FairBalance,0.62,0.66,0.03,0.03
Compas,Race,Optimized Preprocessing,0.60,0.64,0.01,0.03
Compas,Race,Reweighing,0.56,0.60,0.01,0.03
Compas,Race,Adversial Debiasing,0.53,0.59,0.02,0.06
Compas,Race,Reject Option Classification,0.60,0.64,0.02,0.07
Compas,Race,Fairway,0.59,0.67,0.04,0.13
Compas,Race,FairBalance,0.62,0.66,0.06,0.03
German,Sex,Optimized Preprocessing,0.56,0.56,0.12,0.03
German,Sex,Reweighing,0.56,0.56,0.10,0.03
German,Sex,Adversial Debiasing,0.56,0.56,0.04,0.01
German,Sex,Reject Option Classification,0.55,0.56,0.04,0.01
German,Sex,Fairway,0.54,0.55,0.04,0.04
German,Sex,FairBalance,0.67,0.60,0.00,0.01